,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
1,1,59,2,2,1,2,4,2,2,1,5,2,5,4,5,6,5,1,3,3,1,5,6,6,5,5,1,1,1,6,7,3,6,4,6,6,2,10,10,10,10,10,10,1,2,2,1,1,2,1,1,4001,4002,1,2,1,1,59,5,4,11,16,2,0,0,NA,NA,1,1,1
2,2,10,1,3,2,2,3,2,2,1,6,6,6,6,6,6,6,5,6,4,3,5,5,7,5,5,2,2,2,7,7,5,6,2,5,6,2,10,10,10,9,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,1,1,37,5,4,11,15,5,1,1,0,1,1,1,1
3,1,13,1,1,1,2,10,2,2,1,3,2,1,7,7,7,7,1,6,1,7,4,1,6,1,5,1,1,1,1,4,2,7,6,1,7,3,10,10,10,10,10,5,2,2,2,2,2,4,1,1,4002,4003,1,3,1,1,43,2,1,6,15,2,5,7,2,5,1,1,1
4,3,15,2,3,2,2,2,2,2,1,5,6,6,4,6,5,5,5,5,3,1,3,5,2,5,4,1,3,4,5,5,4,4,3,5,6,3,10,10,10,6,10,10,2,2,2,2,3,2,1,1,4001,4002,1,2,4,1,77,2,2,2,14,2,0,3,2,1,1,1,1
5,4,16,1,2,2,3,10,2,2,1,2,4,4,7,7,7,7,3,6,2,7,1,1,5,1,4,2,1,1,1,7,2,7,4,1,4,1,10,10,10,10,10,5,2,2,1,2,2,4,1,1,4002,4003,1,3,3,2,37,5,3,4,15,4,0,0,NA,NA,1,1,1
6,3,15,3,3,2,3,5,1,2,2,4,2,4,3,3,4,6,1,3,3,1,3,5,3,5,4,3,2,3,3,4,1,2,6,6,5,3,5,9,7,3,1,1,2,2,2,2,1,3,1,1,4001,4002,3,2,4,1,68,2,1,5,15,2,0,3,2,1,1,1,1
7,1,59,2,2,2,2,4,1,2,1,4,2,3,4,7,6,5,2,3,1,1,3,4,6,5,5,1,1,1,3,5,2,5,3,4,5,2,10,10,10,10,10,10,2,2,2,1,1,2,1,1,4001,4003,1,2,4,1,67,5,4,11,10,2,0,3,0,3,1,1,1
8,1,1,2,2,1,2,5,2,2,2,5,3,4,6,7,7,7,1,5,2,1,2,3,4,5,5,2,1,2,3,7,3,6,5,2,7,2,10,10,10,10,10,10,2,2,2,2,1,4,1,1,4001,4003,1,2,3,1,42,4,2,77,16,2,0,0,NA,NA,1,1,1
9,1,15,2,2,2,2,8,2,2,2,4,2,6,5,7,7,7,2,7,2,5,6,1,5,2,4,1,1,1,4,7,4,4,6,1,6,2,10,10,10,10,10,1,2,2,2,2,3,2,1,1,4002,4003,1,3,1,1,59,4,1,2,10,2,0,2,1,1,1,1,4
10,1,70,2,2,2,1,3,2,2,1,6,7,6,7,7,7,5,4,5,3,5,6,6,7,5,4,1,1,1,3,7,5,7,2,6,5,2,10,10,10,10,10,10,2,2,2,2,3,4,1,1,4003,4002,1,2,1,1,41,3,2,1,16,1,0,0,NA,NA,1,1,1
